sku,name,description,category,subcategory,brand,size,shade,price,stock,weight,tags
GCZD-18-PR,G-Ceram Blocks Zirconia Discs - 18mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,18mm,Pre-Shaded (ST),,100,,"zirconia,cad-cam,dental,disc"
GCZD-18-MU,G-Ceram Blocks Zirconia Discs - 18mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,18mm,Multilayer (SHT),,100,,"zirconia,cad-cam,dental,disc"
GCZD-20-WH,G-Ceram Blocks Zirconia Discs - 20mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,20mm,White (HT),,100,,"zirconia,cad-cam,dental,disc"
GCZD-20-PR,G-Ceram Blocks Zirconia Discs - 20mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,20mm,Pre-Shaded (ST),,100,,"zirconia,cad-cam,dental,disc"
GCZD-20-MU,G-Ceram Blocks Zirconia Discs - 20mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,20mm,Multilayer (SHT),,100,,"zirconia,cad-cam,dental,disc"
GCZD-22-WH,G-Ceram Blocks Zirconia Discs - 22mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,22mm,White (HT),,100,,"zirconia,cad-cam,dental,disc"
GCZD-22-PR,G-Ceram Blocks Zirconia Discs - 22mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,22mm,Pre-Shaded (ST),,100,,"zirconia,cad-cam,dental,disc"
GCZD-22-MU,G-Ceram Blocks Zirconia Discs - 22mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,22mm,Multilayer (SHT),,100,,"zirconia,cad-cam,dental,disc"
GCZD-25-WH,G-Ceram Blocks Zirconia Discs - 25mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,25mm,White (HT),,100,,"zirconia,cad-cam,dental,disc"
GCZD-25-PR,G-Ceram Blocks Zirconia Discs - 25mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,25mm,Pre-Shaded (ST),,100,,"zirconia,cad-cam,dental,disc"
GCZD-25-MU,G-Ceram Blocks Zirconia Discs - 25mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",Labside > CAD/CAM Materials,Zirconia Discs,G-Ceram,25mm,Multilayer (SHT),,100,,"zirconia,cad-cam,dental,disc"
GB8A1,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,A1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8A2,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,A2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8A3,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,A3,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
"GB8A3,5","G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A3,5","G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,"A3,5",,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8A4,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,A4,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8B0,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B0,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,B0,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8B1,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,B1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8B4,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,B4,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8C1,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - C1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,C1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB8C2,G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - C2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 8 x 15mm,C2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10A1,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,A1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10A2,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,A2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10A3,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,A3,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
"GB10A3,5","G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A3,5","G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,"A3,5",,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10A4,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,A4,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10B0,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B0,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,B0,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10B1,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,B1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10B4,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,B4,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10C1,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - C1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,C1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB10C2,G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - C2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 10 x 15mm,C2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12A1,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,A1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12A2,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,A2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12A3,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,A3,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
"GB12A3,5","G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A3,5","G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,"A3,5",,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12A4,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,A4,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12B0,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B0,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,B0,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12B1,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,B1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12B4,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,B4,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12C1,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - C1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,C1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB12C2,G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - C2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 12 x 15mm,C2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB14A1,G-Ceram Glass Ceramic Block - 8 x 14 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 14 x 15mm,A1,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB14A2,G-Ceram Glass Ceramic Block - 8 x 14 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 14 x 15mm,A2,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
GB14A3,G-Ceram Glass Ceramic Block - 8 x 14 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",Labside > CAD/CAM Materials,Glass Ceramic Blocks,G-Ceram,8 x 14 x 15mm,A3,,100,,"glass-ceramic,cad-cam,dental,block,feldspar"
