Ad,Açıklama,Satış Fiyatı,Alış Fiyatı,Barkod Listesi,Marka,Kategoriler,Etiketler,Metadata Başlık,Slug,Stok,Tip,Desi,Tedarikçi,Satış Kanalı,Varyant Aktiflik
G-Ceram Blocks Zirconia Discs - 20mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-20-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 20mm - Pre-Shaded (ST),gczd-20-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 20mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-20-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 20mm - Multilayer (SHT),gczd-20-mu,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 22mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-22-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 22mm - White (HT),gczd-22-wh,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 22mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-22-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 22mm - Pre-Shaded (ST),gczd-22-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 22mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-22-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 22mm - Multilayer (SHT),gczd-22-mu,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 25mm - White (HT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-25-WH,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 25mm - White (HT),gczd-25-wh,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 25mm - Pre-Shaded (ST),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-25-PR,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 25mm - Pre-Shaded (ST),gczd-25-pr,100,PHYSICAL,,,,
G-Ceram Blocks Zirconia Discs - 25mm - Multilayer (SHT),"G-Ceram Zirconia Discs are premium quality zirconia blanks for CAD/CAM dental restorations. 
Available in White (HT), Pre-Shaded (ST), and Multilayer (SHT) options with various thicknesses.
Perfect for crowns, bridges, and other dental prosthetics.",,,GCZD-25-MU,G-Ceram,Labside > CAD/CAM Materials,"zirconia,cad-cam,dental,disc",G-Ceram Blocks Zirconia Discs - 25mm - Multilayer (SHT),gczd-25-mu,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8A1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A1,gb8a1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8A2,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A2,gb8a2,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8A3,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A3,gb8a3,100,PHYSICAL,,,,
"G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A3,5","G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,"GB8A3,5",G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar","G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A3,5","gb8a3,5",100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8A4,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - A4,gb8a4,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B0,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8B0,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B0,gb8b0,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8B1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B1,gb8b1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8B4,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - B4,gb8b4,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - C1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8C1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - C1,gb8c1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - C2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB8C2,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 8 x 15mm - C2,gb8c2,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10A1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A1,gb10a1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10A2,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A2,gb10a2,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10A3,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A3,gb10a3,100,PHYSICAL,,,,
"G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A3,5","G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,"GB10A3,5",G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar","G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A3,5","gb10a3,5",100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10A4,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - A4,gb10a4,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B0,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10B0,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B0,gb10b0,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10B1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B1,gb10b1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10B4,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - B4,gb10b4,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - C1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10C1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - C1,gb10c1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - C2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB10C2,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 10 x 15mm - C2,gb10c2,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12A1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A1,gb12a1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A2,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12A2,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A2,gb12a2,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A3,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12A3,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A3,gb12a3,100,PHYSICAL,,,,
"G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A3,5","G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,"GB12A3,5",G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar","G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A3,5","gb12a3,5",100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12A4,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - A4,gb12a4,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B0,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12B0,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B0,gb12b0,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B1,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12B1,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B1,gb12b1,100,PHYSICAL,,,,
G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B4,"G-Ceram Block are feldspathic monochromatic glass ceramic blanks used to produce inlays, onlays, crown and veneers with CAD/CAM systems.
G-Ceram Block Glass-ceramics are formed as a result of a controlled crystallization in the glass phase as a result of various thermal processes.
Compatible with universal and specific holder systems. Available in A1, A2, A3, A3.5, A4, B0, B1, B4, C1, C2 shades.",,,GB12B4,G-Ceram,Labside > CAD/CAM Materials,"glass-ceramic,cad-cam,dental,block,feldspar",G-Ceram Glass Ceramic Block - 8 x 12 x 15mm - B4,gb12b4,100,PHYSICAL,,,,
